Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
June,2001,Taylor,1.6,0.905,0.643,0.263,5.069,17.417,5.974,11.443,0.093,0.043,0.143,670.979,32.5,-9999,-9999,-9999,-9999,-9999,1.6,-9999
December,2005,Taylor,1.6,1.605,1.406,0.199,1.971,20.278,3.576,16.702,0.222,0.144,0.73,653.708,17.97,18.12,22.34,21.87,8.13,8.18,2.4,8.35
September,1997,Taylor,1.6,2.7,2.245,0.455,6.463,60.42,9.163,51.258,0.27,0.025,0.642,760.75,15.8,16.2,29.5,29,6.2,6.5,7.95,-9999
September,2003,Taylor,1.6,0.479,0.385,0.094,6.608,52.656,7.087,45.569,0.147,0.178,0.462,881.813,17.02,20.13,29.96,29.77,5.1,6.02,3.64,7.99
November,1998,Taylor,1.6,1.303,0.948,0.355,5.885,55.882,7.188,48.694,0.168,0.12,0.337,726.333,18.2,19.5,26,25.7,6,6,4.45,-9999
November,1996,Taylor,1.6,5.738,4.4,1.338,7.355,52.047,13.093,38.955,0.24,0.04,0.75,713.125,12,12,26.3,26.3,6.8,6.9,23.8,-9999
November,1999,Taylor,1.6,2.715,2.162,0.553,21.548,27.695,24.263,3.432,0.243,0.094,2.356,707.104,15,14.8,23.4,23.3,8.1,8.2,29.6,-9999
August,2002,Taylor,1.6,0.853,0.825,0.027,1.43,57.84,2.283,55.557,0.185,0.087,0.106,890,13.97,13.89,30.67,30.7,6.41,6.67,10.17,8.39
February,1998,Taylor,1.6,2.94,2.503,0.438,4.45,43.026,7.39,35.636,0.392,0.035,0.595,661.083,12.8,12.8,24.7,24.7,6.7,6.7,50,-9999
February,2002,Taylor,1.6,0.605,0.581,0.024,0.784,20.074,1.389,18.685,0.215,0.052,0.285,654.792,15.59,13.66,19.11,19.13,6.85,6.91,2.59,-9999
January,1997,Taylor,1.6,1.45,1.273,0.178,1.59,36.772,3.04,33.732,0.178,0.013,0.472,715.896,19.6,19.6,24.9,24.9,7.1,7.1,8.75,-9999
November,2004,Taylor,1.6,0.458,0.046,0.413,4.883,26.699,5.341,21.358,0.245,0.025,1.151,770.354,31.98,32,23.18,23.47,4.69,4.46,11.9,8.17
August,1996,Taylor,1.6,2.77,2.175,0.595,6.055,69.219,8.825,60.394,0.295,0.098,0.525,864.375,13.4,13.3,28.1,28.3,4,4,17.75,-9999
February,2005,Taylor,1.6,0.278,0.098,0.18,1.299,28.78,1.577,27.203,0.105,0.034,0.297,800.75,37.36,38.56,22.33,22.67,6.36,6.02,3.16,7.99
June,2003,Taylor,1.6,0.744,0.688,0.057,2.405,38.75,3.149,35.601,1.379,0.063,0.528,829.625,23.82,24.04,30.2,30.14,5.41,5.27,1.8,8.34
October,2000,Taylor,1.6,1.323,1.066,0.257,5.959,38.285,7.281,31.004,0.109,0.105,0.385,890.417,19.9,24.7,23.8,24.3,5.7,6.2,7.57,-9999
November,2003,Taylor,1.6,0.616,0.441,0.175,3.272,42.456,3.888,38.569,0.209,0.159,0.74,739.458,12.66,12.79,25.51,25.42,6.12,5.82,5,8.15
March,2003,Taylor,1.6,0.748,0.727,0.02,2.869,44.459,3.617,40.842,0.081,-9999,0.215,758.875,26.62,26.64,28.58,28.46,5.81,6.19,1.19,8.17
October,2004,Taylor,1.6,0.811,0.533,0.278,8.163,38.571,8.974,29.597,0.108,0.024,1.439,937.917,33.51,34.29,27.43,27.77,4.75,4.57,6.02,8.11
August,2005,Taylor,1.6,0.612,0.322,0.29,2.857,31.812,3.469,28.344,0.111,0.037,0.538,797.875,32.82,32.71,33.01,33.02,7.04,6.44,2.78,8.1
August,2004,Taylor,1.6,0.415,0.265,0.15,8.288,55.905,8.703,47.202,0.135,0.041,0.423,673.354,39.2,39.12,31.43,31.48,3.52,3.44,3.51,7.98
March,2004,Taylor,1.6,0.938,0.832,0.106,2.018,44.366,2.956,41.41,0.157,0.021,0.119,695.417,23.22,23.44,23.74,23.71,5.46,5.03,3.03,8.11
April,2001,Taylor,1.6,1.82,1.235,0.585,6.863,33.89,8.683,25.208,0.268,0.023,0.36,865.833,28.7,28.9,23.3,23.3,7.2,7.1,16.54,-9999
November,1997,Taylor,1.6,0.64,0.453,0.188,3.858,58.717,4.498,54.22,0.293,0.013,0.424,644.875,18.6,20.2,24.7,24.8,4.9,5,16.35,-9999
March,1997,Taylor,1.6,2.825,2.315,0.51,5.35,46.873,8.175,38.698,0.213,0.045,0.347,796.917,24,23.9,26.7,26.7,6.7,7.1,6.05,-9999
July,1996,Taylor,1.6,1.603,1.238,0.365,5.463,57.342,7.065,50.277,0.255,0.038,0.689,825.854,19.8,20.3,30.1,29.9,5.7,5.8,12.58,-9999
April,1999,Taylor,1.6,0.288,0.213,0.075,2.2,52.853,2.488,50.365,0.328,0,0.281,1058.542,31.2,31.3,29.3,29.3,4.9,4.9,2.95,-9999
January,1998,Taylor,1.6,1.798,1.658,0.14,2.71,42.712,4.508,38.204,0.357,0.02,0.304,717.563,14.6,15.3,21.5,21.6,7.5,7.7,12.55,-9999
February,2003,Taylor,1.6,0.956,0.841,0.114,3.245,34.554,4.2,30.354,0.306,0.188,0.776,720.75,23.28,23.42,24.5,24.57,5.35,6.34,5.97,7.65
May,2001,Taylor,1.6,0.578,0.48,0.098,2.525,30.516,3.102,27.414,0.118,0.065,0.26,803.75,32.4,32.41,24.14,24.14,6.07,6.11,15.34,-9999
May,1998,Taylor,1.6,0.443,0.303,0.14,2.948,50.359,3.39,46.969,0.153,0.06,0.315,779.833,19.5,19.7,29,28.8,6.5,6.5,9.9,-9999
August,2000,Taylor,1.6,1.162,1.11,0.053,4.73,28.474,5.892,22.582,0.35,0.121,0.381,998.958,28.3,28.1,29.6,29.6,4,3.8,7.73,-9999
September,1998,Taylor,1.6,1.238,1.015,0.223,7.543,52.565,8.78,43.785,0.275,0.075,0.854,904.375,8.9,17.6,29.7,29,5.6,5.7,28.9,-9999
April,1997,Taylor,1.6,2.235,1.8,0.435,2.668,42.356,4.903,37.453,0.198,0.033,0.515,742.188,26.1,26.1,27.2,27.2,6.8,6.7,23.2,-9999
September,1999,Taylor,1.6,0.558,0.44,0.118,6.085,76.904,6.643,70.262,0.308,0.125,0.353,1160.417,29.6,32,28.6,28,5.3,5.4,13.35,-9999
October,2005,Taylor,1.6,1.299,0.984,0.315,12.339,19.494,13.638,5.856,0.899,0.044,1.323,693.521,12.73,12.74,28.57,28.58,6.77,6.78,16.73,8.21
May,2000,Taylor,1.6,0.325,0.313,0.013,0.213,42.905,0.538,42.368,0.296,0.055,0.265,831.188,26,26,29.2,29.2,4.7,4.6,1.18,-9999
July,2005,Taylor,1.6,0.698,0.447,0.252,12.151,34.383,12.85,21.533,0.163,0.043,0.324,674.917,34.84,35.13,32.03,31.89,6.32,6.33,12.67,8.07
March,1996,Taylor,1.6,3.013,2.388,0.625,18.413,70.431,21.425,49.006,0.243,0.033,0.353,814.917,22.4,22.5,20.6,20.5,4.2,4,18.45,-9999
February,2001,Taylor,1.6,1.683,1.263,0.42,6.532,39.828,8.214,31.613,0.312,0.08,0.394,955.208,24.3,24.3,22,22,7,7,16.16,-9999
February,1999,Taylor,1.6,0.413,0.348,0.065,1.63,46.592,2.043,44.549,0.123,0.018,0.298,785.938,21.2,21.3,25.9,25.9,6.1,6.3,3.54,-9999
January,2001,Taylor,1.6,1.518,1.108,0.41,4.925,59.728,6.443,53.285,1.106,0.033,0.106,856.042,22.2,22.4,15.4,15.2,7.5,7.4,5.71,-9999
October,2003,Taylor,1.6,1.235,0.973,0.263,8.279,31.207,9.514,21.693,0.222,0.154,0.729,967.292,11.3,17.19,30.33,30.34,5.54,5.56,7.44,8.34
August,1998,Taylor,1.6,0.345,0.278,0.068,1.108,61.021,1.453,59.568,0.205,0.013,0.511,1122.708,23.6,25.8,32.6,32.9,5.2,5.1,5.95,-9999
March,2005,Taylor,1.6,0.472,0.371,0.102,2.282,26.845,2.755,24.09,0.097,0.024,0.384,801.688,39.81,39.82,26.4,26.47,5.99,5.92,12.23,8.11
April,2002,Taylor,1.6,0.279,0.262,0.018,0.425,17.095,0.705,16.39,0.165,0.148,0.314,727.708,22.56,22.34,25.28,25.32,4.54,4.24,10.71,-9999
May,2002,Taylor,1.6,0.05,0,0.05,0.511,28.769,0.561,28.207,0.407,0.039,0.123,682.938,30.52,30.52,30.37,30.36,4.73,3.51,1.47,8.21
July,2003,Taylor,1.6,0.878,0.656,0.223,5.138,32.884,6.016,26.868,0.151,0.069,0.264,791,20.42,20.4,30.35,30.42,5.62,5.63,7.9,8.23
April,2002,Shark,2.1,0.033,0.01,0.023,0.103,14.674,0.135,14.539,0.753,0.028,3.487,575.125,29.72,30.36,28.1,27.81,7.2,7.21,2.77,-9999
August,2000,Shark,2.1,1.438,1.375,0.063,0.528,36.375,1.965,34.41,0.77,0.131,1.625,655.438,28.6,28.5,28.4,28.4,6.9,6.8,1.62,-9999
February,2000,Shark,2.1,1,1,0,0.3,34.946,1.3,33.646,1.138,0.008,6.417,1072.292,18,18.5,20.9,20.7,7.1,7.2,4.12,-9999
October,2004,Shark,2.1,3.954,3.587,0.368,1.215,26.786,5.17,21.616,0.613,0.081,2.697,775.458,19.73,19.8,28.93,28.91,6.12,6.18,4.34,7.95
October,1997,Shark,2.1,0.265,0.168,0.098,0.298,61.695,0.563,61.133,1.098,0.07,5.531,998.75,11.8,11.9,29,29,7.5,7.5,4.9,-9999
March,2002,Shark,2.1,0.08,0,0.08,0.692,35.174,0.772,34.401,0.732,0.03,3.95,872.5,19.79,20.04,19.26,19.28,7.09,6.98,8.18,-9999
June,2000,Shark,2.1,0.698,0.69,0.008,0.354,39.775,1.051,38.724,1.666,0,3.154,1076.042,26.4,26.4,29.5,29.5,7,7.7,7.37,-9999
April,2001,Shark,2.1,0.225,0.165,0.06,0.29,24.056,0.515,23.541,0.595,0.023,1.038,640.625,36.1,36,24.6,24.6,6.3,6.3,3.36,-9999
June,1999,Shark,2.1,3.413,2.765,0.648,0.62,40.23,4.033,36.197,0.599,0.078,4.078,748.5,26.5,29.4,30.7,30.3,4,4.4,3.84,-9999
November,2003,Shark,2.1,1.156,1.003,0.153,0.583,17.629,1.739,15.889,0.415,0.142,1.889,658.583,21.56,23.71,25.15,25.05,5.84,5.65,1.39,7.93
December,1997,Shark,2.1,1.005,0.85,0.155,0.3,32.147,1.305,30.842,0.48,0.185,2.75,715.292,18.7,19.3,20.9,20.9,9,9.3,3.3,-9999
November,1996,Shark,2.1,1.205,0.978,0.228,0.435,31.325,1.64,29.685,0.463,0.148,2.736,611.417,27.3,28.7,23.9,23.3,5,4.9,5.15,-9999
March,1999,Shark,2.1,0.93,0.748,0.183,0.728,28.752,1.658,27.094,0.363,0.083,1.275,660.188,24.8,25,21.8,21.8,7.5,7.5,3.15,-9999
August,2005,Shark,2.1,1.567,1.279,0.288,0.439,10.972,2.006,8.967,0.429,0.146,4.315,665.354,23.11,23.23,31.43,31.4,4.81,4.8,4.25,7.78
July,2004,Shark,2.1,0.178,0.107,0.07,0.266,37.477,0.444,37.034,0.352,0.038,1.91,464.083,35.81,35.27,31.23,31.21,5.04,5.17,2.04,7.96
January,2005,Shark,2.1,3.136,2.511,0.625,1.666,19.265,4.802,14.463,0.739,0.036,1.752,807,24.19,24.1,17.6,17.21,7.07,7.45,3.91,7.83
August,1997,Shark,2.1,1.228,0.975,0.253,0.615,32.532,1.843,30.689,0.845,0.07,2.622,593.667,26.8,26.8,31.3,31.2,4.2,4.2,3.65,-9999
October,2002,Shark,2.1,2.158,1.777,0.382,0.589,62.713,2.747,59.966,0.497,0.099,0.361,438.063,19.97,29.23,29.54,29.34,4.52,4.39,2.2,7.7
November,2000,Shark,2.1,1.175,1.023,0.153,0.54,32.004,1.715,30.289,0.561,0.065,2.209,703.396,18.7,18.8,24.4,24.5,8.2,8.2,3.24,-9999
December,1998,Shark,2.1,5.198,4.735,0.463,1.995,43.018,7.193,35.825,0.877,0.198,2.825,772.354,19,18.9,24.2,24.2,4.8,4.8,17.18,-9999
September,2001,Shark,2.1,2.531,2.063,0.468,1.188,48.87,3.719,45.151,0.711,0.042,0.569,702.708,21.63,21.81,28.43,28.39,2.7,2.6,3.7,-9999
July,1998,Shark,2.1,0.235,0.173,0.063,0.608,49.811,0.843,48.968,1.01,0.008,3.075,833.313,27.3,27.3,32.3,32.3,5.5,6.6,2.9,-9999
April,1998,Shark,2.1,0.6,0.298,0.303,0.445,36.545,1.045,35.5,0.498,0.088,9.59,776.771,20.1,20.1,22.7,22.7,7.3,7.6,4.1,-9999
September,2000,Shark,2.1,1.564,1.442,0.123,0.29,22.342,1.855,20.488,0.475,0.106,1.265,683.313,30.1,31.8,31.6,31.2,6,5.9,1.91,-9999
April,1996,Shark,2.1,0.64,0.455,0.185,0.693,31.974,1.333,30.642,0.38,0.183,1.277,885.417,28.2,28.3,25.3,25.3,6.3,6.5,5.1,-9999
September,2002,Shark,2.1,0.517,0.398,0.119,0,30.789,0.517,30.272,0.697,0.21,2.656,585.625,24.31,24.1,29.12,29.12,5,4.88,3.98,7.87
May,2003,Shark,2.1,0.784,0.647,0.137,0.861,39.825,1.645,38.18,0.465,0.112,2.458,660.563,27.37,27.58,29.8,29.69,3.98,3.79,2.53,6.92
September,1999,Shark,2.1,3.505,3.1,0.405,4.245,54.024,7.75,46.274,0.815,0.053,0.946,927.083,12.2,12.4,27.5,27.5,5.8,5.5,3.38,-9999
January,1998,Shark,2.1,0.865,0.635,0.23,0.48,25.112,1.345,23.767,0.285,0.072,2.096,571.417,25.2,25.2,18.5,18.6,6.5,6.3,2.6,-9999
February,1998,Shark,2.1,1.228,1.123,0.105,0.308,31.517,1.535,29.982,0.497,0.102,1.47,689.667,20,19.9,20.6,20.6,7.1,7.1,4.2,-9999
December,2000,Shark,2.1,0.74,0.654,0.085,0.346,17.648,1.085,16.563,0.54,0.087,1.357,633.958,27.9,27.9,23.4,23.4,5,4.9,2.77,-9999
February,1997,Shark,2.1,0.295,0.17,0.125,0.323,32.723,0.618,32.105,0.405,0.02,1.381,753.396,27.1,27.2,25.4,25.4,6.1,6.1,4.45,-9999
March,2003,Shark,2.1,0.306,0.2,0.106,0.622,63.824,0.928,62.896,0.456,0.03,1.885,491.979,26.62,26.29,26.03,26.02,6.04,5.84,2.4,7.9
December,2005,Shark,2.1,1.552,1.421,0.131,1.284,18.89,2.836,16.054,0.82,0.168,4.044,785.375,21.04,21.08,21.69,21.69,6.67,6.68,5.86,7.71
October,1999,Shark,2.1,9.158,8.563,0.595,4.788,47.33,13.945,33.385,1.11,-9999,1.004,731.833,10.2,11.6,25.8,25.8,6,6,5.29,-9999
August,2003,Shark,2.1,0.938,0.825,0.113,1.253,34.096,2.191,31.906,0.35,0.075,2.934,-9999,21.25,21.22,29.47,29.46,4.45,4.02,3.13,7.87
March,2004,Shark,2.1,1.115,0.986,0.129,0.499,50.442,1.614,48.828,0.385,0.017,1.384,911.875,22.26,22.25,21.49,21.47,6.34,6.09,2.66,7.9
April,2004,Shark,2.1,0.363,0.303,0.06,0.323,38.578,0.686,37.892,0.392,0.045,2.697,308.167,31.03,31.06,23.02,23.03,7.17,7.59,3.78,7.96
September,2004,Shark,2.1,1.603,1.3,0.303,0.945,19.419,2.548,16.871,0.286,0.036,3.512,711.833,21.79,21.86,31.05,30.97,4.99,4.95,2.39,7.67
January,1997,Shark,2.1,0.315,0.193,0.123,1.118,41.333,1.433,39.9,0.175,0.12,1.139,847.708,25.1,25.5,23.9,23.7,2.9,2.8,2.3,-9999
May,1998,Shark,2.1,0.013,0,0.013,1.165,34.893,1.178,33.715,0.195,0.048,2.304,660.771,28.3,28.3,30,30,4.5,4.8,2.2,-9999
July,2002,Shark,2.1,0.621,0.553,0.068,0.784,26.196,1.405,24.791,1.51,0.025,10.648,936.25,17.21,20.31,28.99,28.98,5.25,5.12,7.17,7.94
August,2001,Shark,2.1,2.195,1.778,0.418,1.155,27.651,3.35,24.301,0.648,0.085,3.927,768.479,26.2,26.2,31.1,31.3,2.1,2,3.1,-9999
June,2001,Shark,2.1,1.493,1.195,0.298,1.473,17.186,2.965,14.221,0.488,0.1,0.962,502.646,34.3,34.3,29,29,4.1,4.2,3.77,-9999
May,2002,Shark,2.1,0.065,0.049,0.016,0.509,62.093,0.574,61.518,0.553,0.045,1.405,532.938,32.31,32.44,29.51,29.46,5.96,5.96,3.21,7.85
December,2001,Shark,2.1,1.006,0.954,0.052,0.505,32.075,1.511,30.564,0.472,0.017,3.183,721.875,16.8,17.5,24.4,24.5,7.3,7.4,2.7,-9999
August,2001,Shark,2.1,3.25,2.606,0.645,3.513,30.935,6.763,24.173,0.48,0.043,2.413,888.542,20.3,21,29.6,29.3,4.4,4.9,3.94,-9999
May,1999,Shark,2.1,0.075,0,0.075,0.998,22.593,1.073,21.521,0.589,0.003,2.275,562.688,33.7,33.7,27.7,27.7,6.1,6.3,1.85,-9999
January,1996,Shark,2.1,0.243,0.17,0.415,0.173,45.862,0.415,45.204,0.405,0.048,1.334,958.333,12.8,12.7,16.6,16.5,7.5,7.4,2.9,-9999
March,2000,Shark,2.1,0.54,0.562,0,0.114,26.967,0.655,26.312,0.921,0.005,5.102,776.854,23.8,24.1,24,23.8,7.6,7.4,4.19,-9999
October,1998,Shark,2.1,0.203,0.148,0.055,0.318,37.939,0.52,37.419,1.16,0.223,11.215,827.688,26.6,26.7,25.7,29.7,4.8,4.6,7.55,-9999
January,2001,Shark,2.1,0.76,0.7,0.06,1.205,30.767,1.965,28.802,1.088,0.113,0.587,714.438,27,26.9,15.6,15.6,8.9,9.1,2.23,-9999
January,2003,Shark,2.1,0.388,0.307,0.081,0.559,29.601,0.946,28.655,0.273,0.056,0.755,551.938,25.16,25.18,16.64,16.62,8.08,7.79,2.28,7.89
March,2005,Shark,2.1,0.551,0.442,0.109,0.334,18.163,0.885,17.278,0.456,0.009,2.843,375.979,33.38,33.4,25.02,25.04,8.21,8.33,6.94,7.78
February,2001,Shark,2.1,0.183,0.093,0.09,0.223,31.305,0.405,30.9,0.925,0.035,1.952,958.083,32.7,32.7,23.3,23.3,4.1,4.1,4.92,-9999
July,1996,Shark,2.1,0.298,0.013,0.285,1.13,63.919,1.428,62.491,1.398,0.133,5.492,1086.042,16.1,16.1,29.6,29.6,4.8,4.6,11.45,-9999
October,1996,Shark,2.1,0.487,0.284,0.203,0.443,45.415,0.929,44.486,0.475,0.038,2.336,923.75,17.5,17.6,25.6,25.6,4.1,4.2,2.6,-9999
July,2003,Shark,2.1,0.961,0.845,0.116,0.364,36.887,1.325,35.562,0.328,0.075,1.882,669.083,21.99,21.88,30.78,30.79,5.33,4.79,1.46,7.78
May,2000,Shark,2.1,0.415,0.393,0.023,0.273,21.341,0.688,20.654,1.111,0.045,1.369,639.708,32.7,32.8,29,29,6.6,6.6,3.04,-9999
March,1998,Shark,2.1,0.395,0.198,0.198,0.143,41.349,0.538,40.812,0.667,0.017,1.161,870.833,17,17,20.7,20.7,7.6,7.7,1.75,-9999
July,1997,Shark,2.1,2.505,2.183,0.323,1.105,36.609,3.61,32.999,0.69,0.055,4.909,823.688,15,14.9,29.5,29.6,4.4,4.6,2.95,-9999
August,2002,Shark,2.1,0.58,0.468,0.112,1.014,62.536,1.594,60.943,0.771,0.166,5.142,892.917,15.11,15.4,29.66,29.64,5.05,4.83,2.97,7.79
July,1999,Shark,2.1,0.728,0.55,0.178,0.39,51.869,1.118,50.751,0.583,-9999,1.529,804.396,22.1,22.9,32.3,31.9,4.1,4.2,1.25,-9999
February,2003,Shark,2.1,1.27,1.088,0.182,1.184,41.488,2.454,39.034,0.348,0.126,1.693,588.229,31.62,31.01,24.16,24.12,4.8,4.5,5.26,8.16
January,2002,Shark,2.1,0.15,0.088,0.063,0.135,15.597,0.285,15.312,0.687,0.04,3.187,798.917,16,16.2,24.9,24.9,7.58,7.49,4.06,-9999
January,1999,Shark,2.1,1.108,0.95,0.158,0.493,39.164,1.6,37.564,0.47,0.01,1.203,796.083,18.3,18.4,17.2,17.2,8.3,8.4,2.4,-9999
September,2005,Shark,2.1,4.325,3.111,1.214,4.262,29.618,8.587,21.031,0.765,0.046,6.515,882.917,9.53,16.68,30.36,29.8,6.8,5.83,4.29,7.7
August,2004,Shark,2.1,2.784,2.187,0.598,1.368,20.073,4.153,15.92,0.513,0.031,4.346,540.979,28.72,28.72,29.81,29.78,5.08,5.16,2.96,7.66
February,1999,Shark,2.1,0.695,0.625,0.07,0.705,23.638,1.4,22.238,0.321,0.015,0.888,527.938,26.1,26.2,20.1,20.2,6.7,6.7,2.15,-9999
March,1996,Shark,2.1,0.31,0.203,0.108,0.49,51.793,0.8,50.993,1.188,0.118,0.398,989.792,17.4,17.4,20.7,20.7,8,8.2,6.35,-9999
December,1999,Shark,2.1,2.908,2.668,0.24,1.528,41.155,4.435,36.72,0.504,0,4.863,755.188,15.7,15.8,22.1,22,5.8,5.8,8.26,-9999
October,2003,Shark,2.1,1.271,1.047,0.225,0.918,31.291,2.189,29.102,0.584,0.348,3.17,586.729,23.61,23.57,26.95,26.95,4.92,4.88,4.79,7.7
February,1996,Shark,2.1,0.25,0.11,0.14,0.415,44.367,0.665,43.702,1.07,0.095,2.302,914.583,17.6,17.9,15.7,15.7,8.1,8.2,20.35,-9999
May,1997,Shark,2.1,0.275,0.18,0.095,0.265,39.63,0.54,39.09,0.545,0.025,5.175,662.75,33.6,33.6,29.7,29.7,5.3,5.3,2.65,-9999
November,2002,Shark,2.1,0.672,0.644,0.028,2.658,41.186,3.33,37.857,0.319,0.087,1.505,949.167,15.82,16.22,19.71,19.55,8.64,8.7,3.33,8.09
May,1996,Shark,2.1,1.085,0.895,0.19,0.305,30.616,1.39,29.226,0.615,0.16,1.233,428.771,31.5,31.5,27,27,6,5.9,3.75,-9999
November,1998,Shark,2.1,5.083,4.65,0.433,1.295,38.664,6.378,32.287,0.805,0.175,2.444,679.146,20.8,20.9,25,25,5.9,6.1,5.09,-9999
November,1999,Shark,2.1,1.785,1.785,0,0,40.679,1.785,38.894,0.952,0.01,23.784,744.917,16.1,16.4,22.3,22.2,8.4,8.5,2.38,-9999
April,2000,Shark,2.1,1.08,1.01,0.07,0.951,23.654,2.031,21.623,1.219,0.083,2.558,856.875,27,27.2,24.3,24,6,6.2,6.22,-9999
January,2000,Shark,2.1,1.425,1.45,0,0.19,21.651,1.615,20.036,0.949,0.008,14.38,764.167,20.9,21,23.4,23.4,8.3,8.4,2.34,-9999
April,1997,Shark,2.1,0.195,0.118,0.078,0.208,31.725,0.403,31.323,0.505,0,4.187,712.667,32.9,32.9,26.5,26.4,6.4,6.4,7.25,-9999
January,1997,Shark,2.1,0.363,0.335,0.028,0.2,40.756,0.563,40.193,0.248,0.03,1.143,883.958,22.6,22.6,22.5,22.4,7.7,7.8,0.8,-9999
March,2001,Shark,2.1,0.205,0.148,0.058,0.235,31.034,0.44,30.594,0.745,0.048,1.844,584.521,34.2,34.2,25.1,25.1,5.5,5.6,10.42,-9999
December,2004,Shark,2.1,1.996,1.572,0.424,1.578,25.123,3.573,21.55,0.584,0.051,3.326,805.438,18.99,18.95,23.59,23.6,7.41,7.57,4.25,8.03
October,2000,Shark,2.1,1.683,1.569,0.114,1.775,41.529,3.458,38.072,0.556,0.084,1.896,890.625,10.9,16.1,28.3,28.1,6.4,6.1,3.79,-9999
April,2003,Shark,2.1,0.457,0.37,0.086,0.346,25.686,0.803,24.882,0.448,0.061,1.726,549.792,28.03,28.32,26.42,26.15,6.18,5.99,3.38,7.93
April,1999,Shark,2.1,0.248,0.138,0.11,0.718,36.243,0.965,35.278,0.658,0.043,1.783,563.667,32,32.1,28.1,28,5.4,5.4,2.75,-9999
July,2000,Shark,2.1,2.325,2.29,0.035,0.089,20.247,2.414,17.833,0.328,0.132,2.007,785.438,28.5,28.6,31.8,31.8,6.9,6.8,2.42,-9999
November,1997,Shark,2.1,1.145,0.948,0.198,0.37,42.471,1.515,40.956,0.535,0.155,1.429,762.083,19.7,19.9,23.4,23.4,7.1,7.3,3.5,-9999
January,2004,Shark,2.1,1.171,1.106,0.065,2.439,30.531,3.61,26.921,0.518,0.029,1.913,556.146,26.25,26.26,19.42,19.42,6.58,6.46,2.76,7.93
March,2005,Shark,2.1,3.147,2.476,0.672,2.044,17.622,5.191,12.431,0.73,0.082,3.251,426.104,32.92,32.88,22.51,22.49,7.1,7.15,13.58,7.74
September,1996,Shark,2.1,1.175,0.935,0.24,1.36,44.103,2.535,41.568,0.418,0.1,1.44,717.354,23.5,23.4,30.6,30.6,6.2,5.8,3.95,-9999
July,2005,Shark,2.1,0.545,0.54,0.004,0.377,31.364,0.922,30.443,0.623,0.048,3.33,539.813,29.91,29.92,32.75,32.67,4.95,4.96,5.17,7.76
October,2001,Shark,2.1,4.085,3.703,0.383,0.415,17.536,4.5,13.036,0.503,0.153,3.868,595.833,20,20,27.6,27.6,8.5,8.8,3.44,-9999
August,1996,Shark,2.1,0.355,0.193,0.163,0.685,41.584,1.04,40.544,0.588,0.055,1.446,717.854,27.8,27.9,30.4,30.4,6.6,6.6,3.55,-9999
February,2002,Shark,2.1,0.797,0.649,0.148,0.167,14.426,0.964,13.461,0.393,0.057,3.177,679.563,26.4,26.41,21.99,21.98,9.1,8.63,6.67,-9999
June,2002,Shark,2.1,0.686,0.46,0.227,0.291,31.74,0.977,30.763,0.652,0.049,4.804,879.167,31.9,31.96,28.16,28.18,4.99,5.11,1.81,7.71
June,2005,Shark,2.1,0.695,0.461,0.234,1.164,12.042,1.859,10.182,0.448,0.096,3.278,425.125,31.73,31.74,30.05,30.05,4.22,4.12,3.53,7.8
June,1998,Shark,2.1,0.203,0.063,0.14,0.71,33.449,0.913,32.537,0.713,0.03,4.503,653.938,28.1,28.1,32,31.9,4.3,4.9,1.4,-9999
November,2005,Shark,2.1,1.079,1.036,0.042,0.433,19.738,1.512,18.226,0.926,0.048,5.847,737.167,21.89,23.77,24.04,23.24,7.79,7.21,7.02,7.88
December,2003,Shark,2.1,0.56,0.493,0.067,1.561,33.862,2.12,31.742,0.732,0.067,2.153,816.958,17.64,18.11,19.06,19.11,7.39,7.71,3,8.04
September,2003,Shark,2.1,1.656,1.518,0.138,3.069,24.256,4.725,19.531,0.426,0.153,3.361,755.979,19.86,21.76,30.07,30.04,4.29,3.94,2.04,7.63
August,1999,Shark,2.1,2.578,2.08,0.498,1.305,36.812,3.883,32.929,0.555,0.145,1.17,783.542,27.4,27.9,30.1,30.1,5.7,5.6,1.92,-9999
June,2004,Shark,2.1,0.124,0.103,0.021,0.062,27.59,0.186,27.404,0.145,0.058,2.242,318.417,36.04,36.06,30.9,30.85,5.96,5.91,3.22,7.96
June,2001,Shark,2.1,0.103,0.043,0.06,0.27,11.018,0.373,10.645,0.405,0.05,1.021,488.104,35.7,-9999,-9999,-9999,-9999,-9999,0.42,-9999
December,2002,Shark,2.1,0.69,0.571,0.119,1.069,28.22,1.759,26.461,0.376,0.159,1.784,687.833,17.22,17.28,18.91,18.89,7.61,7.59,2.55,8.12
March,1997,Shark,2.1,0.293,0.24,0.053,0.515,30.82,0.808,30.013,0.493,0.008,1.306,652.917,32.1,32.1,25.3,25.3,4.6,4.6,1.55,-9999
August,1998,Shark,2.1,0.605,0.345,0.26,2.535,38.382,3.14,35.242,0.63,0.12,2.216,783.271,23.8,23.8,31.7,31.7,5.3,5.6,6.95,-9999
November,2001,Shark,2.1,4.649,4.405,0.244,1.111,26.196,5.76,20.436,0.798,0.063,5.488,772.313,14.7,14.7,23.6,23.6,9.6,9.7,3.46,-9999
