"","Month","Year","Area","SpeciesName","CommonName","ThermalGuild","TotalSpeciesWeight","SpeciesBiomass"
"546","February",2000,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.051115038,0.007302148
"547","July",2000,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.239950373333333,0.0342786233333333
"548","October",2000,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.248012988,0.035430428
"549","April",2001,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.261321265,0.08412812
"550","December",2001,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0404322325,0.0057760325
"551","February",2001,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.302422531666667,0.0432032183333333
"552","April",2002,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.172795216666667,0.02468503
"553","December",2002,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0411714966666667,0.00588164333333333
"554","February",2002,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0340860033333333,0.00486942666666667
"555","April",2003,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.06437384,0.01287477
"556","December",2003,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.327697361666667,0.0468139083333333
"557","February",2003,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.120877925,0.024175585
"558","July",2003,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.298303077142857,0.0426147257142857
"559","October",2003,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.411202698333333,0.0587432416666667
"560","April",2004,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.288003516666667,0.0576007016666667
"561","February",2004,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.26296734,0.0525934666666667
"562","February",2005,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.03667587,0.00733517
"563","April",1996,"Shark","Lepisosteus platyrhinchus","Florida gar","cool/warm",51.22258258,7.3175118
"564","July",2000,"Shark","Lepisosteus platyrhinchus","Florida gar","cool/warm",0.055767155,0.007966735
"565","December",2001,"Shark","Lepisosteus platyrhinchus","Florida gar","cool/warm",142.9288076,20.41840108
"566","July",2001,"Shark","Lepisosteus platyrhinchus","Florida gar","cool/warm",0.0150175,0.00214536
"567","July",2000,"Taylor","Lepisosteus platyrhinchus","Florida gar","cool/warm",0.06272842,0.0089612
"568","December",2001,"Taylor","Lepisosteus platyrhinchus","Florida gar","cool/warm",2.94219123,0.42031303
"569","February",2002,"Taylor","Lepisosteus platyrhinchus","Florida gar","cool/warm",4.39540293,0.6279147
"570","April",1996,"Shark","Heterandria formosa","Least killifish","cool/warm",0.643302673333333,0.09190038
"571","December",1996,"Shark","Heterandria formosa","Least killifish","cool/warm",0.607399335555556,0.0867713333333333
"572","February",1996,"Shark","Heterandria formosa","Least killifish","cool/warm",0.518181502222222,0.0740259277777778
"573","July",1996,"Shark","Heterandria formosa","Least killifish","cool/warm",0.576294462222222,0.08232778
"574","October",1996,"Shark","Heterandria formosa","Least killifish","cool/warm",0.674257243333333,0.0963224622222222
"575","April",1997,"Shark","Heterandria formosa","Least killifish","cool/warm",0.556426331428571,0.0807568285714286
"576","December",1997,"Shark","Heterandria formosa","Least killifish","cool/warm",0.569910162222222,0.0814157377777778
"577","February",1997,"Shark","Heterandria formosa","Least killifish","cool/warm",0.657473271111111,0.0939247522222222
"578","July",1997,"Shark","Heterandria formosa","Least killifish","cool/warm",0.779100414444444,0.111300057777778
"579","October",1997,"Shark","Heterandria formosa","Least killifish","cool/warm",0.647867522222222,0.0925525033333333
"580","April",1998,"Shark","Heterandria formosa","Least killifish","cool/warm",0.541356915555556,0.0773367044444444
"581","December",1998,"Shark","Heterandria formosa","Least killifish","cool/warm",0.470923848888889,0.0672748377777778
"582","February",1998,"Shark","Heterandria formosa","Least killifish","cool/warm",0.480380863333333,0.0686258377777778
"583","July",1998,"Shark","Heterandria formosa","Least killifish","cool/warm",0.386865317777778,0.0552664733333333
"584","October",1998,"Shark","Heterandria formosa","Least killifish","cool/warm",0.522790886666667,0.0746844122222222
"585","April",1999,"Shark","Heterandria formosa","Least killifish","cool/warm",0.535142866666667,0.0865380244444444
"586","December",1999,"Shark","Heterandria formosa","Least killifish","cool/warm",0.625746904444444,0.0893924155555555
"587","February",1999,"Shark","Heterandria formosa","Least killifish","cool/warm",0.534587535555556,0.0763696488888889
"588","July",1999,"Shark","Heterandria formosa","Least killifish","cool/warm",0.535938618888889,0.0765626611111111
"589","October",1999,"Shark","Heterandria formosa","Least killifish","cool/warm",0.650216518888889,0.0928880744444444
"590","April",2000,"Shark","Heterandria formosa","Least killifish","cool/warm",0.444028217142857,0.0634326014285714
"591","December",2000,"Shark","Heterandria formosa","Least killifish","cool/warm",0.668287071111111,0.0954695811111111
"592","February",2000,"Shark","Heterandria formosa","Least killifish","cool/warm",0.555560558888889,0.0793657944444444
"593","July",2000,"Shark","Heterandria formosa","Least killifish","cool/warm",0.389563745555556,0.0556519633333333
"594","October",2000,"Shark","Heterandria formosa","Least killifish","cool/warm",0.698891605555556,0.0998416577777778
"595","April",2001,"Shark","Heterandria formosa","Least killifish","cool/warm",1.00511008,0.14358715
"596","December",2001,"Shark","Heterandria formosa","Least killifish","cool/warm",0.112537395,0.01607677
"597","February",2001,"Shark","Heterandria formosa","Least killifish","cool/warm",0.30490348,0.0435576383333333
"598","July",2001,"Shark","Heterandria formosa","Least killifish","cool/warm",0.054961585,0.0078516575
"599","September",2001,"Shark","Heterandria formosa","Least killifish","cool/warm",0.06296782,0.00899540285714286
"600","April",2002,"Shark","Heterandria formosa","Least killifish","cool/warm",0.14127951,0.0201827877777778
"601","December",2002,"Shark","Heterandria formosa","Least killifish","cool/warm",0.10920722875,0.0156010329166667
"602","July",2002,"Shark","Heterandria formosa","Least killifish","cool/warm",0.06782852,0.009689788
"603","October",2002,"Shark","Heterandria formosa","Least killifish","cool/warm",0.126171490769231,0.0180245
"604","April",2003,"Shark","Heterandria formosa","Least killifish","cool/warm",0.107398981538462,0.0163862307692308
"605","December",2003,"Shark","Heterandria formosa","Least killifish","cool/warm",0.150051253333333,0.0214358933333333
"606","February",2003,"Shark","Heterandria formosa","Least killifish","cool/warm",0.0619015407692308,0.0239877138461538
"607","July",2003,"Shark","Heterandria formosa","Least killifish","cool/warm",0.170284184285714,0.0243263121428571
"608","October",2003,"Shark","Heterandria formosa","Least killifish","cool/warm",0.204690722666667,0.0292415306666667
"609","April",2004,"Shark","Heterandria formosa","Least killifish","cool/warm",0.0935964854545454,0.0133709263636364
"610","April ",2004,"Shark","Heterandria formosa","Least killifish","cool/warm",0.03469836,0.00495691
"611","February",2004,"Shark","Heterandria formosa","Least killifish","cool/warm",0.144000873571429,0.0205715542857143
"612","July",2004,"Shark","Heterandria formosa","Least killifish","cool/warm",0.0680211566666667,0.00971730666666667
"613","October",2004,"Shark","Heterandria formosa","Least killifish","cool/warm",0.141405754,0.0202008206666667
"614","April",2005,"Shark","Heterandria formosa","Least killifish","cool/warm",0.054849215,0.01096984375
"615","February",2005,"Shark","Heterandria formosa","Least killifish","cool/warm",0.0952484806666667,0.0136069266666667
"616","December",1996,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.300884567272727,0.04298351
"617","July",1996,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.171364252,0.024480606
"618","October",1996,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.217003149090909,0.03100045
"619","April",1997,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.202140013333333,0.0288771433333333
"620","December",1997,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.165116605384615,0.0237826953846154
"621","February",1997,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.252373449,0.03605335
"622","July",1997,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.132403393,0.018914769
"623","October",1997,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.223413085454545,0.0319161554545455
"624","April",1998,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.1831015275,0.0264145175
"625","December",1998,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.342389645384615,0.0489128061538462
"626","February",1998,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.193870509166667,0.027809315
"627","July",1998,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.17608172,0.0253746907692308
"628","October",1998,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.257626329230769,0.0368037623076923
"629","April",1999,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.7275883925,0.1196269075
"630","December",1999,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0289422657142857,0.00413461
"631","February",1999,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.531045783076923,0.0758636830769231
"632","July",1999,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.00912585,0.00130369
"633","October",1999,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.009029935,0.00128999
"634","April",2000,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0318891,0.004621415
"635","December",2000,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.103155309166667,0.0147364716666667
"636","February",2000,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.02233984,0.00319140571428571
"637","July",2000,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0833031071428571,0.0119004442857143
"638","October",2000,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0926743881818182,0.0132391990909091
"639","April",2001,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.060013405,0.017522355
"640","December",2001,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.041192154,0.005884594
"641","February",2001,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.1801573325,0.02573676125
"642","July",2001,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.01468158,0.00209737
"643","September",2001,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.01895456,0.002707795
"644","April",2002,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0605116133333333,0.00864451666666667
"645","February",2002,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0767994925,0.010971355
"646","April",2003,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0080422,0.00160844
"647","December",2003,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0684908357142857,0.00978440428571429
"648","February",2003,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.00535209,0.00107042
"649","July",2003,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.00491496,0.000702136666666667
"650","October",2003,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.0389423755555556,0.00556319555555556
"651","April",2004,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.173290665714286,0.0346581328571429
"652","February",2004,"Taylor","Heterandria formosa","Least killifish","cool/warm",0.050288122,0.010057624
"653","December",1996,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.136794758333333,0.0195421083333333
"654","February",1996,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.32720824,0.04674403
"655","July",1996,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.02201554,0.00314508
"656","October",1996,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.12083924,0.01726275
"657","December",1997,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.1451875375,0.020741075
"658","July",1997,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.255372386666667,0.03648177
"659","October",1997,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.269599524,0.038514218
"660","April",1998,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.17062308,0.02437473
"661","December",1998,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.404451995,0.057778855
"662","February",1998,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.1383014175,0.019757345
"663","July",1998,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.217616463333333,0.0310880666666667
"664","October",1998,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.28695438,0.040993485
"665","April",1999,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.2083782,0.03271262
"666","December",1999,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.16436279,0.0234804
"667","February",1999,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.307615377142857,0.0439450557142857
"668","July",1999,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.130597095714286,0.0186567285714286
"669","October",1999,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.235445896666667,0.03363513
"670","April",2000,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.46536228,0.0664803225
"671","December",2000,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.198812596666667,0.0284018
"672","February",2000,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.14908438,0.0212977666666667
"673","July",2000,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.16972269,0.0242460966666667
"674","October",2000,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.317621673333333,0.045374525
"675","April",2001,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.03003761,0.03003761
"676","December",2001,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.513521328888889,0.07336019
"677","February",2001,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.058542975,0.00836328
"678","July",2001,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.104429015,0.01491843
"679","September",2001,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.336292488888889,0.0480417844444444
"680","April",2002,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",1.45873404,0.20839057625
"681","December",2002,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.510921281428571,0.0729887542857143
"682","July",2002,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.20507532,0.0292964744444444
"683","October",2002,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.56642222,0.08091746
"684","April",2003,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.217593657142857,0.0360847842857143
"685","December",2003,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.283285496,0.040469356
"686","February",2003,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.137018792,0.019574112
"687","July",2003,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.641383435454545,0.0916262045454545
"688","October",2003,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.362065913636364,0.0517237018181818
"689","April",2004,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.29305574,0.041865105
"690","February",2004,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.243058592,0.034722656
"691","July",2004,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.0069,0.00098571
"692","October",2004,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.455567060769231,0.0650810084615385
"693","April",2005,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.263913635,0.052782725
"694","February",2005,"Shark","Fundulus confluentus","Marsh killifish","cool/warm",0.546054758571429,0.0780078228571429
"695","December",1996,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.139705483333333,0.0199579266666667
"696","July",1996,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.187449726666667,0.0267785316666667
"697","October",1996,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.2384441425,0.03406345
"698","April",1997,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.432709355,0.0618156233333333
"699","December",1997,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.365290116666667,0.0521843033333333
"700","February",1997,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.110751971666667,0.01582171
"701","July",1997,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.08384729,0.012126332
"702","October",1997,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.35605297375,0.05086471125
"703","April",1998,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.2032663625,0.0316689525
"704","December",1998,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.194701962857143,0.0278145671428571
"705","February",1998,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.1911541275,0.0279767925
"706","July",1998,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.0274474125,0.004007665
"707","October",1998,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.233026274285714,0.0332894671428571
"708","April",1999,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.6242810475,0.1140298775
"709","December",1999,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.226512118333333,0.032358875
"710","February",1999,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.334690047,0.047812865
"711","July",1999,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.248294254444444,0.0354706066666667
"712","October",1999,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.161493344,0.023070478
"713","April",2000,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.577509723333333,0.08250139
"714","December",2000,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.43603324625,0.062290465
"715","February",2000,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.16651346,0.0237876375
"716","July",2000,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.142628998571429,0.0203755714285714
"717","October",2000,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.327569615714286,0.0467956614285714
"718","April",2001,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.97867667,0.286549745
"719","December",2001,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.429325635555556,0.0613322333333333
"720","February",2001,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.515709628333333,0.0736728066666667
"721","July",2001,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.112428201666667,0.0160611733333333
"722","September",2001,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.170122918888889,0.0243032722222222
"723","April",2002,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",1.20004459333333,0.171434943333333
"724","December",2002,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.187791922857143,0.0268274171428571
"725","February",2002,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.550888261428571,0.0786983228571429
"726","July",2002,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.0701306657142857,0.0100186671428571
"727","October",2002,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.268286192857143,0.0383266
"728","April",2003,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.05677439,0.01135488
"729","December",2003,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.132700425714286,0.0189572028571429
"730","February",2003,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.186518912,0.037303784
"731","July",2003,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.255852435555556,0.0365503488888889
"732","October",2003,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.424630968571429,0.0606615657142857
"733","April",2004,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.257882276666667,0.0515764533333333
"734","December",2004,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.490224504444444,0.0700320733333333
"735","February",2004,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.085459935,0.017091985
"736","October",2004,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.120287209166667,0.0171838866666667
"737","February",2005,"Taylor","Fundulus confluentus","Marsh killifish","cool/warm",0.33996084375,0.06799217
"738","April",1996,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.215205201111111,0.0307435977777778
"739","December",1996,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.419562437777778,0.0599374922222222
"740","February",1996,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.482328794285714,0.0689041128571429
"741","July",1996,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.457223366666667,0.0653176233333333
"742","October",1996,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.638661521111111,0.09123736
"743","April",1997,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.779387545714286,0.112373148571429
"744","December",1997,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.41113373888889,0.201590533333333
"745","February",1997,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.962077625555556,0.137439661111111
"746","July",1997,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.26798685333333,0.181140978888889
"747","October",1997,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",3.19321391555556,0.456173416666667
"748","April",1998,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.70845745111111,0.244065348888889
"749","December",1998,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",2.22400077111111,0.317714397777778
"750","February",1998,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.06715000666667,0.152449998888889
"751","July",1998,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.44046466666667,0.205780667777778
"752","October",1998,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",2.36904028222222,0.338434325555556
"753","April",1999,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.7588464825,0.253978005
"754","December",1999,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.07953215111111,0.154218877777778
"755","February",1999,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.72911792666667,0.247016847777778
"756","July",1999,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.92632766,0.132332521111111
"757","October",1999,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.42259537666667,0.20322791
"758","April",2000,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",2.82131658,0.403045226666667
"759","December",2000,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",2.08503502333333,0.297862146666667
"760","February",2000,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.31337077142857,0.187624395714286
"761","July",2000,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.18119385555556,0.168741978888889
"762","October",2000,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",2.99618364,0.428026233333333
"763","April",2001,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.16289328,0.02327047
"764","December",2001,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.17885231,0.0255503314285714
"765","February",2001,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",3.72315121333333,0.531878745
"766","July",2001,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.608929238571429,0.08698989
"767","September",2001,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.97450069,0.139214385
"768","April",2002,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",1.47270087,0.2103858375
"769","December",2002,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.494538615384615,0.0706483738461538
"770","July",2002,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.150245201666667,0.0214636
"771","October",2002,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.163753746666667,0.0233933916666667
"772","April",2003,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.147664712,0.02109496
"773","December",2003,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.168113786666667,0.0240162533333333
"774","February",2003,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.413524196666667,0.0590748866666667
"775","July",2003,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.43003124125,0.06143303375
"776","October",2003,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.276540305714286,0.0395057585714286
"777","April",2004,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.4118336,0.05883337
"778","February",2004,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.19050739,0.02721534
"779","July",2004,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.054182045,0.00774029
"780","October",2004,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.187635122222222,0.0268050155555556
"781","February",2005,"Shark","Poecilia latipinna","Sailfin molly","cool/warm",0.06345652,0.0090652175
"782","December",1996,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.184543945714286,0.0263634185714286
"783","July",1996,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.027648064,0.003949722
"784","October",1996,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.02737194,0.00391027666666667
"785","April",1997,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.024641475,0.00352021
"786","December",1997,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.3019650925,0.04313787
"787","February",1997,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.0868744466666667,0.0124106366666667
"788","July",1997,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.0258228333333333,0.00368897666666667
"789","October",1997,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.04697362,0.00671051666666667
"790","April",1998,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",1.503550245,0.214792895
"791","December",1998,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.169275868,0.024182266
"792","February",1998,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.109044335,0.01557776
"793","July",1998,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.102755885,0.0146794125
"794","October",1998,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.17316536,0.0247379083333333
"795","April",1999,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.783653825,0.112166185
"796","December",1999,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.11708673,0.0167266733333333
"797","February",1999,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.48452768,0.0692182383333333
"798","December",2000,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.10444094,0.0149201325
"799","July",2000,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.135217123333333,0.0193167333333333
"800","October",2000,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.198489666,0.028355666
"801","December",2001,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.59309138,0.08472734
"802","February",2001,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.143129905,0.02044713
"803","July",2001,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.109984073333333,0.01571201
"804","September",2001,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.158319545,0.02261708
"805","April",2002,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",2.4273091,0.346758445
"806","February",2002,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.30931434,0.044187765
"807","October",2002,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.01007674,0.001439535
"808","December",2003,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.12972541,0.0185322
"809","February",2003,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.02671153,0.00534231
"810","April",2004,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.11225482,0.022450965
"811","December",2004,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.045644985,0.00652071
"812","October",2004,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.0673584,0.00962263
"813","February",2005,"Taylor","Poecilia latipinna","Sailfin molly","cool/warm",0.1572845,0.0314569
"814","April",1996,"Shark","Fundulus seminolis","Seminole killifish","cool/warm",0.11572255,0.01653179
"815","February",1996,"Shark","Fundulus seminolis","Seminole killifish","cool/warm",0.26295279,0.03756468
